x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[1]Acetyl,IPR000001,30,67640,2612,10418874,1.769152494559523,0.002469429777007536,0.007145483850046833
[1]Acetyl,IPR000007,4,67666,1092,10420394,0.564093361391857,0.3320630898401564,0.4054355738368198
[1]Acetyl,IPR000008,170,67500,29841,10391645,0.8770332887761928,0.09513807110365603,0.1380003558212263
[1]Acetyl,IPR000010,74,67596,2410,10419076,4.732851584186155,4.775379900561922e-47,1.436756183217391e-45
[1]Acetyl,IPR000014,7,67663,5037,10416449,0.21394125133413006,1.057836105127859e-05,5.043051371000279e-05
[1]Acetyl,IPR000023,60,67610,1712,10419774,5.40125714135635,3.671813468660172e-46,1.0793175668168158e-44
[1]Acetyl,IPR000072,0,67670,799,10420687,0.0,0.039696660859940086,0.06609304845911988
[1]Acetyl,IPR000073,54,67616,5803,10415683,1.4334398295788224,0.010306899880763777,0.023597503923144227
[1]Acetyl,IPR000082,4,67666,2268,10419218,0.27156985569383724,0.007767060646374461,0.018740358987774212
[1]Acetyl,IPR000086,22,67648,3730,10417756,0.9083078531734055,0.7279250949220887,0.7898650922733426
[1]Acetyl,IPR000095,3,67667,824,10420662,0.5606765986087495,0.42534719706474233,0.5004812185477074
[1]Acetyl,IPR000156,17,67653,2147,10419339,1.2194668124501815,0.4953460457607711,0.5690561623407392
[1]Acetyl,IPR000157,0,67670,3847,10417639,0.0,9.672523020931432e-07,5.302525602804587e-06
[1]Acetyl,IPR000159,8,67662,3501,10417985,0.3518331634320841,0.0028675465459488013,0.008114688826997308
[1]Acetyl,IPR000182,39,67631,3916,10417570,1.5340606930756817,0.009897777155252911,0.022872183242556455
[1]Acetyl,IPR000192,44,67626,1831,10419655,3.7025759129512443,1.3128244276499327e-19,1.73047649855268e-18
[1]Acetyl,IPR000194,77,67593,1047,10420439,11.337788124553738,8.745030352204982e-147,9.152126592738662e-145
[1]Acetyl,IPR000195,7,67663,11754,10409732,0.0916221867658995,3.287363289299484e-15,3.500753537903135e-14
[1]Acetyl,IPR000198,35,67635,12574,10408912,0.4283792546630637,3.3484064922765013e-07,1.926067510838035e-06
[1]Acetyl,IPR000209,33,67637,3085,10418401,1.6476899936976466,0.005594511144058056,0.014333093867018002
[1]Acetyl,IPR000210,26,67644,19583,10401903,0.20416328398138983,4.315246073236549e-19,5.564215329696411e-18
[1]Acetyl,IPR000219,23,67647,11951,10409535,0.2961463457120181,8.317794974539526e-10,6.138482127106982e-09
[1]Acetyl,IPR000233,0,67670,1293,10420193,0.0,0.006448692532339936,0.016090253281801834
[1]Acetyl,IPR000242,44,67626,13067,10408419,0.5182601925144948,1.2125801937763904e-05,5.7469153044877534e-05
[1]Acetyl,IPR000253,6,67664,2123,10419363,0.43519586180564473,0.05014291825010621,0.07976610463949281
[1]Acetyl,IPR000261,24,67646,1818,10419668,2.0334295144915253,0.0007222218797233577,0.0024361693858965163
[1]Acetyl,IPR000270,9,67661,1158,10420328,1.196952530724452,0.7225032068336568,0.7848236337652642
[1]Acetyl,IPR000294,1,67669,920,10420566,0.16738391544005443,0.06752050270178493,0.10290614560287102
[1]Acetyl,IPR000299,104,67566,14721,10406765,1.0881369687094722,0.419874810522311,0.4947374744968316
[1]Acetyl,IPR000300,17,67653,3232,10418254,0.8100008060204716,0.44817705038673905,0.5226579626988485
[1]Acetyl,IPR000306,10,67660,1990,10419496,0.7738586518165762,0.5021141531549203,0.5756601963642206
[1]Acetyl,IPR000313,12,67658,2141,10419345,0.8631491385866569,0.7082648898004567,0.7725395460250909
