x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[1]Acetyl,3₁₀-helix,47,818,6213,126920,1.1737436725660408,0.3249486209882305,0.5061905911103789
[1]Acetyl,IDR,10,855,2517,130616,0.606941801597093,0.14494101490149017,0.2838678798070679
[1]Acetyl,PPII-helix,56,809,4441,128692,2.005904637899069,5.338960473037136e-07,1.48234667251384e-05
[1]Acetyl,bend,66,799,10560,122573,0.9588000625782228,0.7914872610231086,0.8980336230839118
[1]Acetyl,turn,120,745,15904,117229,1.1872814065601665,0.09134435234527752,0.20759104968822759
[1]Acetyl,unassigned,174,691,22063,111070,1.2676618128077253,0.006026428807792068,0.03346440467385713
[1]Acetyl,ß-bridge,7,858,1399,131734,0.7682293879577654,0.5977379162879117,0.7772239572669266
[1]Acetyl,ß-strand,169,696,23647,109486,1.1242425104105451,0.1878283004671077,0.3409806070018263
[1]Acetyl,α-helix,208,657,45670,87463,0.6063052425263763,2.947611109359039e-10,1.1593937030145553e-08
[3]Biotin,α-helix,4,21,45874,88099,0.3658011489026879,0.08704679818427959,0.20749747036298974
[5]Carbamyl,3₁₀-helix,22,510,6238,127228,0.8798119055252752,0.6280464927863076,0.8016133336359608
[5]Carbamyl,IDR,2,530,2525,130941,0.19568989351765365,0.01614178068611852,0.06349100403206619
[5]Carbamyl,PPII-helix,25,507,4472,128994,1.4223280160049117,0.10890748896422225,0.2364496672398985
[5]Carbamyl,bend,52,480,10574,122892,1.2590599583885,0.1343388968417712,0.27003251171573756
[5]Carbamyl,turn,78,454,15946,117520,1.2661896897624196,0.06309940558777734,0.16731977212039834
[5]Carbamyl,unassigned,92,440,22145,111321,1.0510819187585951,0.7074024295859436,0.850591275622435
[5]Carbamyl,ß-bridge,4,528,1402,132064,0.713612588077638,0.6445496736263219,0.8112731892043304
[5]Carbamyl,ß-strand,101,431,23715,109751,1.084499761035068,0.4992784659501843,0.6830708287782231
[5]Carbamyl,α-helix,154,378,45724,87742,0.7817938225164189,0.011374757483381742,0.05263613266819786
[7]Deamidated,3₁₀-helix,11,269,6249,127469,0.8341313792362912,0.6540615528096445,0.8188781244725523
[7]Deamidated,IDR,4,276,2523,131195,0.7536174441514875,0.7314401113246813,0.8555342570192349
[7]Deamidated,PPII-helix,11,269,4486,129232,1.1780160333594645,0.7140338889917326,0.8538894460493769
[7]Deamidated,bend,62,218,10564,123154,3.315548044422984,3.312775876525175e-18,2.233757448171261e-16
[7]Deamidated,turn,31,249,15993,117725,0.9164338213229332,0.7145896847235251,0.8538894460493769
[7]Deamidated,unassigned,48,232,22189,111529,1.0399281408464274,0.8679538345955673,0.9504343997560081
[7]Deamidated,ß-strand,38,242,23778,109940,0.7260200935791054,0.07791235270508137,0.19355068671999162
[7]Deamidated,α-helix,70,210,45808,87910,0.6396990336476889,0.0013836307593776101,0.01255910996973523
[21]Phospho,3₁₀-helix,42,989,6218,126749,0.8656589483351931,0.40129211387799046,0.5956285463849419
[21]Phospho,IDR,99,932,2428,130539,5.710983182612016,8.828916141325722e-74,4.167248418705741e-71
[21]Phospho,PPII-helix,31,1000,4466,128501,0.8919684281236006,0.590399745287367,0.7719354010405465
[21]Phospho,bend,124,907,10502,122465,1.5942424575189857,1.366908847511521e-06,3.22590488012719e-05
[21]Phospho,turn,123,908,15901,117066,0.9972995076640235,1.0,1.0
[21]Phospho,unassigned,280,751,21957,111010,1.8849819466167592,8.245964091608644e-20,6.4868250853988e-18
[21]Phospho,ß-bridge,14,1017,1392,131575,1.3011915256727584,0.41055207110429404,0.600322585047604
[21]Phospho,ß-strand,130,901,23686,109281,0.6656891781421058,1.607069597845405e-05,0.00027090601792251114
[21]Phospho,α-helix,145,886,45733,87234,0.3121694333470272,1.5079606437031826e-42,3.5587871191395113e-40
[23]Dehydrated,3₁₀-helix,18,322,6242,127416,1.1410819513573647,0.6775081635407201,0.8393276986646191
