x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[1]Acetyl,3₁₀-helix,2149,65521,264374,10157112,1.2601069233769984,7.378114596183613e-26,1.0378141357607032e-24
[1]Acetyl,IDR,11808,55862,2648426,7773060,0.6203889320657935,0.0,0.0
[1]Acetyl,PPII-helix,2339,65331,398546,10022940,0.9003836328993071,6.902854614819814e-07,3.1136020903948735e-06
[1]Acetyl,bend,4865,62805,626918,9794568,1.2102167819390124,2.034983676026512e-37,4.206731437162498e-36
[1]Acetyl,loop,326,67344,40359,10381127,1.245153228186388,9.218572845122332e-05,0.00031787807343263417
[1]Acetyl,turn,6380,61290,849202,9572284,1.1733717399680637,8.838859082263847e-34,1.6003976763843691e-32
[1]Acetyl,unassigned,8575,59095,935445,9486041,1.4714656593982725,1.0131627199866014e-245,1.2617582556711187e-243
[1]Acetyl,ß-bridge,501,67169,60285,10361201,1.2819458381839295,3.695871142510074e-08,1.8985028222994405e-07
[1]Acetyl,ß-strand,9259,58411,1229193,9192293,1.1854226554838232,6.210968150376209e-52,1.651729342490673e-50
[1]Acetyl,α-helix,21210,46460,3319448,7102038,0.97673912624341,0.0046992201956942295,0.012057396140308912
[1]Acetyl,π-helix,252,67418,43091,10378395,0.900260715102288,0.1029547718840478,0.17807827413277372
[3]Biotin,3₁₀-helix,82,2780,266441,10219853,1.1313908198770044,0.297010143001884,0.4213764351674409
[3]Biotin,IDR,406,2456,2659828,7826466,0.48641820470583785,7.469993580214374e-43,1.7103940457656768e-41
[3]Biotin,PPII-helix,101,2761,400784,10085510,0.9205395581126042,0.44210470994686724,0.5732317544410117
[3]Biotin,bend,205,2657,631578,9854716,1.203869539463825,0.011615810519183452,0.02697150000497986
[3]Biotin,loop,8,2854,40677,10445617,0.7198155107083116,0.43404459727712486,0.5662319145878896
[3]Biotin,turn,296,2566,855286,9631008,1.298958988287462,2.2519513041004095e-05,8.448540307668398e-05
[3]Biotin,unassigned,323,2539,943697,9542597,1.2863934800889687,2.2251701530110876e-05,8.354205000937217e-05
[3]Biotin,ß-bridge,33,2829,60753,10425541,2.0017593447549618,8.868946489168029e-05,0.00030743272758786117
[3]Biotin,ß-strand,407,2455,1238045,9248249,1.2384144090126854,7.085131946410722e-05,0.00024915071431386463
[3]Biotin,α-helix,992,1870,3339666,7146628,1.1351890858495692,0.0013281667637364857,0.0037907319707314122
[3]Biotin,π-helix,9,2853,43334,10442960,0.7602134924689584,0.49780520649910476,0.6269840612689761
[5]Carbamyl,3₁₀-helix,1586,48015,264937,10174618,1.2685329380455617,1.4038321679664818e-20,1.551508019401917e-19
